indicator,region,time,Val
total_population_10k_persons,Beijing,1997,1240
total_population_10k_persons,Beijing,1998,1246
total_population_10k_persons,Beijing,1999,1257
total_population_10k_persons,Beijing,2000,1363.6
total_population_10k_persons,Beijing,2001,1385.1
total_population_10k_persons,Beijing,2002,1423.2
total_population_10k_persons,Beijing,2003,1456
total_population_10k_persons,Beijing,2004,1493
total_population_10k_persons,Beijing,2005,1538
total_population_10k_persons,Beijing,2006,1601
total_population_10k_persons,Beijing,2007,1676
total_population_10k_persons,Beijing,2008,1771
total_population_10k_persons,Beijing,2009,1860
total_population_10k_persons,Beijing,2010,1962
total_population_10k_persons,Beijing,2011,2024
total_population_10k_persons,Beijing,2012,2078
total_population_10k_persons,Beijing,2013,2125
total_population_10k_persons,Beijing,2014,2171
total_population_10k_persons,Tianjin,1997,953
total_population_10k_persons,Tianjin,1998,957
total_population_10k_persons,Tianjin,1999,959
total_population_10k_persons,Tianjin,2000,1001
total_population_10k_persons,Tianjin,2001,1004
total_population_10k_persons,Tianjin,2002,1007
total_population_10k_persons,Tianjin,2003,1011
total_population_10k_persons,Tianjin,2004,1024
total_population_10k_persons,Tianjin,2005,1043
total_population_10k_persons,Tianjin,2006,1075
total_population_10k_persons,Tianjin,2007,1115
total_population_10k_persons,Tianjin,2008,1176
total_population_10k_persons,Tianjin,2009,1228
total_population_10k_persons,Tianjin,2010,1299
total_population_10k_persons,Tianjin,2011,1341
total_population_10k_persons,Tianjin,2012,1378
total_population_10k_persons,Tianjin,2013,1410
total_population_10k_persons,Tianjin,2014,1429
total_population_10k_persons,Hebei,1997,6525
total_population_10k_persons,Hebei,1998,6569
total_population_10k_persons,Hebei,1999,6614
total_population_10k_persons,Hebei,2000,6674
total_population_10k_persons,Hebei,2001,6699
total_population_10k_persons,Hebei,2002,6735
total_population_10k_persons,Hebei,2003,6769
total_population_10k_persons,Hebei,2004,6809
total_population_10k_persons,Hebei,2005,6851
total_population_10k_persons,Hebei,2006,6898
total_population_10k_persons,Hebei,2007,6943
total_population_10k_persons,Hebei,2008,6989
total_population_10k_persons,Hebei,2009,7034
total_population_10k_persons,Hebei,2010,7194
total_population_10k_persons,Hebei,2011,7232
total_population_10k_persons,Hebei,2012,7262
total_population_10k_persons,Hebei,2013,7288
total_population_10k_persons,Hebei,2014,7323
total_population_10k_persons,Shanxi,1997,3141
total_population_10k_persons,Shanxi,1998,3172
total_population_10k_persons,Shanxi,1999,3204
total_population_10k_persons,Shanxi,2000,3247
total_population_10k_persons,Shanxi,2001,3272
total_population_10k_persons,Shanxi,2002,3294
total_population_10k_persons,Shanxi,2003,3314
total_population_10k_persons,Shanxi,2004,3335
total_population_10k_persons,Shanxi,2005,3355
total_population_10k_persons,Shanxi,2006,3375
total_population_10k_persons,Shanxi,2007,3393
total_population_10k_persons,Shanxi,2008,3411
total_population_10k_persons,Shanxi,2009,3427
total_population_10k_persons,Shanxi,2010,3574
total_population_10k_persons,Shanxi,2011,3562
