indicator,region,time,Val
National Railways (100 million passenger-km),Beijing,1997,50.5
National Railways (100 million passenger-km),Beijing,1998,52.41
National Railways (100 million passenger-km),Beijing,1999,58.4
National Railways (100 million passenger-km),Beijing,2000,65.42
National Railways (100 million passenger-km),Beijing,2001,68.22
National Railways (100 million passenger-km),Beijing,2002,65.7
National Railways (100 million passenger-km),Beijing,2003,62.48
National Railways (100 million passenger-km),Beijing,2004,73.9
National Railways (100 million passenger-km),Beijing,2005,77.60282
National Railways (100 million passenger-km),Beijing,2006,89.06912
National Railways (100 million passenger-km),Beijing,2007,90.84384
National Railways (100 million passenger-km),Beijing,2008,90.21863
National Railways (100 million passenger-km),Beijing,2009,93.54918
National Railways (100 million passenger-km),Beijing,2010,99.53635
National Railways (100 million passenger-km),Beijing,2011,108.61024
National Railways (100 million passenger-km),Beijing,2012,116.28392
National Railways (100 million passenger-km),Beijing,2013,117.84507
National Railways (100 million passenger-km),Beijing,2014,135.51171
National Railways (100 million passenger-km),Tianjin,1997,61
National Railways (100 million passenger-km),Tianjin,1998,62.97
National Railways (100 million passenger-km),Tianjin,1999,69.3
National Railways (100 million passenger-km),Tianjin,2000,72.99
National Railways (100 million passenger-km),Tianjin,2001,72.01
National Railways (100 million passenger-km),Tianjin,2002,74.2
National Railways (100 million passenger-km),Tianjin,2003,70.05
National Railways (100 million passenger-km),Tianjin,2004,84.75
National Railways (100 million passenger-km),Tianjin,2005,90.70345
National Railways (100 million passenger-km),Tianjin,2006,96.5069
National Railways (100 million passenger-km),Tianjin,2007,102.27713
National Railways (100 million passenger-km),Tianjin,2008,113.1239
National Railways (100 million passenger-km),Tianjin,2009,123.07889
National Railways (100 million passenger-km),Tianjin,2010,136.90593
National Railways (100 million passenger-km),Tianjin,2011,150.85442
National Railways (100 million passenger-km),Tianjin,2012,163.97269
National Railways (100 million passenger-km),Tianjin,2013,178.43138
National Railways (100 million passenger-km),Tianjin,2014,158.12414
National Railways (100 million passenger-km),Hebei,1997,300
National Railways (100 million passenger-km),Hebei,1998,315.67
National Railways (100 million passenger-km),Hebei,1999,348.4
National Railways (100 million passenger-km),Hebei,2000,390.18
National Railways (100 million passenger-km),Hebei,2001,415.6
National Railways (100 million passenger-km),Hebei,2002,417.4
National Railways (100 million passenger-km),Hebei,2003,383.76
National Railways (100 million passenger-km),Hebei,2004,479.07
National Railways (100 million passenger-km),Hebei,2005,504.43914
National Railways (100 million passenger-km),Hebei,2006,552.45376
National Railways (100 million passenger-km),Hebei,2007,595.47826
National Railways (100 million passenger-km),Hebei,2008,639.1712
National Railways (100 million passenger-km),Hebei,2009,672.39747
National Railways (100 million passenger-km),Hebei,2010,730.61449
National Railways (100 million passenger-km),Hebei,2011,784.50081
National Railways (100 million passenger-km),Hebei,2012,791.03001
National Railways (100 million passenger-km),Hebei,2013,867.18231
National Railways (100 million passenger-km),Hebei,2014,985.90793
National Railways (100 million passenger-km),Shanxi,1997,73.2
National Railways (100 million passenger-km),Shanxi,1998,71.91
National Railways (100 million passenger-km),Shanxi,1999,77.5
National Railways (100 million passenger-km),Shanxi,2000,83.36
National Railways (100 million passenger-km),Shanxi,2001,90.61
National Railways (100 million passenger-km),Shanxi,2002,89.4
National Railways (100 million passenger-km),Shanxi,2003,84.6
National Railways (100 million passenger-km),Shanxi,2004,104.9
National Railways (100 million passenger-km),Shanxi,2005,108.49392
National Railways (100 million passenger-km),Shanxi,2006,110.43895
National Railways (100 million passenger-km),Shanxi,2007,122.53427
National Railways (100 million passenger-km),Shanxi,2008,134.32961
National Railways (100 million passenger-km),Shanxi,2009,141.7639
National Railways (100 million passenger-km),Shanxi,2010,155.82059
National Railways (100 million passenger-km),Shanxi,2011,194.90427
National Railways (100 million passenger-km),Shanxi,2012,191.55642
National Railways (100 million passenger-km),Shanxi,2013,189.0704
National Railways (100 million passenger-km),Shanxi,2014,201.66797
National Railways (100 million passenger-km),Inner Mongolia,1997,68.4
National Railways (100 million passenger-km),Inner Mongolia,1998,70.58
National Railways (100 million passenger-km),Inner Mongolia,1999,77.7
National Railways (100 million passenger-km),Inner Mongolia,2000,82.53
National Railways (100 million passenger-km),Inner Mongolia,2001,85.61
National Railways (100 million passenger-km),Inner Mongolia,2002,86.7
National Railways (100 million passenger-km),Inner Mongolia,2003,79.83
National Railways (100 million passenger-km),Inner Mongolia,2004,97.01
National Railways (100 million passenger-km),Inner Mongolia,2005,104.95369
National Railways (100 million passenger-km),Inner Mongolia,2006,115.84482
National Railways (100 million passenger-km),Inner Mongolia,2007,124.3859
National Railways (100 million passenger-km),Inner Mongolia,2008,150.82788
National Railways (100 million passenger-km),Inner Mongolia,2009,160.81514
National Railways (100 million passenger-km),Inner Mongolia,2010,169.54784
National Railways (100 million passenger-km),Inner Mongolia,2011,168.79692
National Railways (100 million passenger-km),Inner Mongolia,2012,171.97795
National Railways (100 million passenger-km),Inner Mongolia,2013,186.76717
National Railways (100 million passenger-km),Inner Mongolia,2014,201.71592
National Railways (100 million passenger-km),Liaoning,1997,281.9
National Railways (100 million passenger-km),Liaoning,1998,285.87
National Railways (100 million passenger-km),Liaoning,1999,300.6
National Railways (100 million passenger-km),Liaoning,2000,325.22
National Railways (100 million passenger-km),Liaoning,2001,337.51
National Railways (100 million passenger-km),Liaoning,2002,342.1
National Railways (100 million passenger-km),Liaoning,2003,309.47
National Railways (100 million passenger-km),Liaoning,2004,371.48
National Railways (100 million passenger-km),Liaoning,2005,381.38969
National Railways (100 million passenger-km),Liaoning,2006,412.65409
National Railways (100 million passenger-km),Liaoning,2007,436.56936
National Railways (100 million passenger-km),Liaoning,2008,465.94368
National Railways (100 million passenger-km),Liaoning,2009,483.48231
National Railways (100 million passenger-km),Liaoning,2010,510.07234
National Railways (100 million passenger-km),Liaoning,2011,548.9941
National Railways (100 million passenger-km),Liaoning,2012,542.22101
National Railways (100 million passenger-km),Liaoning,2013,572.65882
National Railways (100 million passenger-km),Liaoning,2014,609.02404
National Railways (100 million passenger-km),Jilin,1997,117.2
National Railways (100 million passenger-km),Jilin,1998,116.16
National Railways (100 million passenger-km),Jilin,1999,123.5
National Railways (100 million passenger-km),Jilin,2000,129.82
National Railways (100 million passenger-km),Jilin,2001,132.63
National Railways (100 million passenger-km),Jilin,2002,132.7
National Railways (100 million passenger-km),Jilin,2003,122.38
